Código_IBGE,Município_Original,Nome_Oficial_IBGE,Região,UF,Código_UF,Região_Brasil,LUCRO_AGRO_HA,RISCO_AGRO,Classificação_Lucro,Classificação_Risco,Carbono_Vegetação_Nativa_ton,Carbono_Pastagem_ton,Carbono_Agricultura_ton,Área_Total_ha,Carbono_Total_ton,Receita_Carbono_Potencial_R$,Densidade_Carbono_ton_ha,Receita_Carbono_R$_ha,Diferença_Lucro_Agro-Carbono_R$_ha,Recomendação_Uso_Solo,Latitude,Longitude,Mesorregiao,valor_carbono,area_conversao,valor_agro,delta,custo_implementacao,carbon_value,carbon_score,bioma_dominante,biodiversity_score,populacao,idh,gini,desemprego_pct,social_need,emprego_potencial,social_score,composite_balanced,composite_carbon_focused,composite_social_focused,composite_eco_social
5200100.0,Abadiânia,Abadiânia,CS,GO,52.0,Centro Oeste,2036.0,0.29,Muito Alto,Baixo,-1051396.125,-426640.53125,-153622.96875,104570.90801471572,-1631659.625,48949788.75,-15.60338009851062,468.1014029553186,1567.8985970446815,Agricultura Intensiva,-15.054928770483151,-49.70739645175678,Noroeste Goiano,-21332026.5625,20914.181602943147,30232704.357950494,-51564730.92045049,10457090.801471572,-85328106.25,-0.9941586204912867,Cerrado_denso,0.17902871850985821,24247,0.7300137184664296,0.6669208044561015,10.590964761268513,0.5337797884885573,34.70409080147157,0.6728446870176747,-0.04022567406786193,-0.4508112896146563,0.24068083181431915,-0.19148302338903642
5200134.0,Acreúna,Acreúna,SW,GO,52.0,Centro Oeste,2643.75,0.23,Muito Alto,Muito Baixo,-846721.125,-947575.3125,-1088589.125,156436.01467332523,-2882885.5625,86486566.875,-18.42852854900539,552.8558564701617,2090.8941435298384,Agricultura Intensiva,-14.828467192848962,-47.21545521538796,Leste Goiano,-47378765.625,31287.20293466505,63690967.92406096,-111069733.54906096,15643601.467332523,-189515062.5,-2.2080418912065096,Cerrado_denso,0.17902871850985821,11317,0.7621601001136857,0.5488051946713879,17.066173332920492,0.49993375461972095,26.960601467332523,0.5870904052321311,-0.46996360921097036,-1.1920043943116214,-0.05354839140005169,-0.6941871880322343
5200175.0,Água Fria de Goiás,Água Fria De Goiás,E,GO,52.0,Centro Oeste,1548.75,0.39,Alto,Alto,35111.2578125,-335519.0,-364022.0,203372.90256444243,-664429.7421875,19932892.265625,-3.2670514793727903,98.01154438118373,1450.7384556188165,Agricultura (Requer Seguro),-16.151230062085006,-49.85120543542377,Centro Goiano,-16775950.0,40674.58051288849,38426801.50729499,-55202751.50729499,20337290.25644425,-67103800.0,-0.7818270458536422,Transicao_Amazonia,0.30151134457776363,29063,0.75883291738955,0.6147786740350257,3.405703323665299,0.36233105693418516,49.400290256444244,0.5007670213604603,0.011756605841516582,-0.3186033381636753,0.20439707256110046,-0.09197287623825935
5200258.0,Águas Lindas de Goiás,Águas Lindas De Goiás,E,GO,52.0,Centro Oeste,1408.5,0.4,Médio,Alto,-3890732.0,-1466502.75,-89485.59375,19277.66317601268,-5446720.34375,163401610.3125,-282.5404870922005,8476.214612766016,-7067.714612766016,Mercado de Carbono/Conservação,-13.431180776738913,-48.34884790627064,Norte Goiano,-73325137.5,3855.532635202536,3258310.6300096638,-76583448.13000967,1927766.317601268,-293300550.0,-3.4172476454947183,Cerrado_típico,0.5,83086,0.7795899472211469,0.6766346242884724,4.600786485422978,0.43381044268135827,85.01376631760127,0.6813089822010951,-0.7310466690648847,-1.8231522399666664,-0.1746641397782867,-1.0306372617576685
5200308.0,Alexânia,Alexânia,CS,GO,52.0,Centro Oeste,2129.5,0.28,Muito Alto,Baixo,-1764788.625,-909920.9375,-258689.71875,84846.62874670152,-2933399.28125,88001978.4375,-34.57296211505679,1037.1888634517036,1092.3111365482964,Agricultura Intensiva,-16.504211578902428,-48.68615993462105,Centro Goiano,-45496046.875,16969.325749340303,26018049.011918526,-71514095.88691853,8484662.874670152,-181984187.5,-2.1202995911587768,Cerrado_denso,0.17902871850985821,10087,0.7272307097642946,0.60893916631177,6.048519340701624,0.4087746725165765,18.571662874670153,0.4286289091997958,-0.4948855588462125,-1.163128238687832,-0.13107682900990625,-0.6907825672196083
5200506.0,Aloândia,Aloândia,CS,GO,52.0,Centro Oeste,2082.75,0.29,Muito Alto,Baixo,-31043.71484375,-343438.3125,-122009.9453125,10200.539497337268,-496491.97265625,14894759.1796875,-48.67310918073044,1460.193275421913,622.5567245780869,Agricultura Moderada,-16.495126539218695,-50.19859463035539,Centro Goiano,-17171915.625,2040.1078994674533,3016814.6566072456,-20188730.281607244,1020053.9497337268,-68687662.5,-0.8002806437037395,Cerrado_denso,0.17902871850985821,10087,0.7748214127367945,0.6397516053914531,7.038909501563243,0.43540668282018397,11.107053949733727,0.38282394771793604,-0.07485299308988255,-0.3779876144370887,0.10544398359198534,-0.17193598053396536
5200555.0,Alto Horizonte,Alto Horizonte,NE,GO,52.0,Centro Oeste,247.0,0.58,Muito Baixo,Muito Alto,100892.40625,-234370.734375,-10299.662109375,50361.74408061645,-143777.990234375,4313339.70703125,-2.8549049056804447,85.64714717041333,161.35285282958665,Sistema Agroflorestal/Misto,-15.437056592650949,-52.3699203669867,Noroeste Goiano,-11718536.71875,10072.34881612329,1044905.4661846304,-12763442.184934633,5036174.408061645,-46874146.875,-0.5461311546915523,Cerrado_denso,0.17902871850985821,88881,0.7963336439719583,0.5496649049728589,6.2904856769779425,0.3254887325387447,93.91717440806164,0.5224906055615987,0.05650300195098451,-0.204547922353227,0.24007387610062036,-0.042342853360357896
5200605.0,Alto Paraíso de Goiás,Alto Paraíso De Goiás,N,GO,52.0,Centro Oeste,434.0,0.53,Muito Baixo,Muito Alto,410277.34375,-83805.53125,-64071.37890625,260031.08909230249,262400.43359375,7872013.0078125,1.0091117739410247,30.273353218230746,403.72664678176926,Sistema Agroflorestal/Misto,-18.38737674876955,-50.34343129386146,Sul Goiano,-4190276.5625,52006.2178184605,10608228.310609572,-14798504.873109572,26003108.90923025,-16761106.25,-0.19528381678349838,Transicao_Amazonia,0.30151134457776363,33554,0.7599432585378,0.6461527843211251,3.631369837843001,0.3966460284736501,59.55710890923025,0.5738668969010552,0.2301698291184663,0.044287580609500166,0.3655656436994862,0.15726439049791713
5200803.0,Alvorada do Norte,Alvorada Do Norte,NE,GO,52.0,Centro Oeste,200.25,0.59,Muito Baixo,Muito Alto,157387.953125,-749283.5625,-35145.36328125,126565.9217898879,-627040.97265625,18811229.1796875,-4.954263863358107,148.6279159007432,51.6220840992568,Sistema Agroflorestal/Misto,-17.319246680501635,-49.02862900110709,Sul Goiano,-37464178.125,25313.18435797758,2078275.7187508545,-39542453.84375086,12656592.17898879,-149856712.5,-1.7459820581727648,Cerrado_denso,0.17902871850985821,7605,0.738023969877378,0.6339990607952792,7.814357609015312,0.45600483697955774,20.261592178988792,0.49146821358665127,-0.3499954094692977,-0.9291118232381965,-0.01850973978059056,-0.5284876931478324
5200852.0,Americano do Brasil,Americano Do Brasil,W,GO,52.0,Centro Oeste,1689.0,0.39,Alto,Alto,9728.1669921875,-224050.0,-5399.39501953125,13381.89992887174,-219721.2280273437,6591636.8408203125,-16.419284944232054,492.5785483269616,1196.4214516730383,Agricultura (Requer Seguro),-17.162036113281818,-51.618455552002935,Sul Goiano,-11202500.0,2676.3799857743484,2757447.5355434534,-13959947.535543451,1338189.9928871742,-44810000.0,-0.5220817587782168,Cerrado_denso,0.17902871850985821,25618,0.8072249337731254,0.6511034151132292,3.700771367424486,0.3837250121153463,26.956189992887175,0.45060090204426767,0.03999680340649267,-0.20090174033282537,0.2017499331728889,-0.047101035698489904
